Name,Math,Programming,Database,Attendance,Average
Abel,85,90,88,95,87.6
Mimi,78,85,80,90,81.0
Kalkidan,92,95,94,98,93.6
Dawit,65,70,72,80,69.0
Sara,88,82,86,92,85.3
Yonas,75,80,78,85,77.6
Hana,90,88,91,96,89.6
Samuel,82,86,84,91,84.0
Lensa,91,89,93,97,91.0
Bekele,68,72,70,83,70.0
Meron,84,87,85,94,85.2
Nahom,76,79,81,88,78.4
Ruth,93,91,95,99,93.3
Daniel,70,75,73,82,72.5
Selam,86,90,89,95,88.0
Henok,80,83,85,89,82.0
Rahel,89,94,90,97,91.0
Biruk,72,78,76,84,76.0
Eden,95,96,94,100,95.0
Fikru,67,71,69,79,69.0
Betty,83,85,87,92,85.2
Michael,77,82,79,86,79.4
Saron,91,93,92,98,92.0
Girma,69,74,71,81,71.0
Mekdes,87,89,90,94,89.0
Robel,74,77,75,83,75.0
Tsion,94,92,96,99,94.0
Abdi,81,84,82,90,82.4
Hirut,79,86,83,91,82.0
Tadesse,66,70,68,78,68.0
